Date,classification,Sentiment_Score,total_volume_usd,net_pnl,trade_count,pnl_volatility
2023-05-01,Greed,1.0,477.0,0.0,3,0.0
2023-12-05,Extreme Greed,2.0,50005.83,0.0,9,0.0
2023-12-14,Greed,1.0,113203.35,-205.43473700000007,11,179.66353383090035
2023-12-15,Greed,1.0,10609.95,-24.632033999999997,2,4.474304424985184
2023-12-16,Greed,1.0,15348.77,0.0,3,0.0
2023-12-17,Greed,1.0,116278.02,304.982785,14,43.51261683426808
2023-12-18,Greed,1.0,31164.179999999997,0.0,2,0.0
2023-12-19,Greed,1.0,91602.41,1000.5386120000001,15,183.73537011741135
2023-12-20,Greed,1.0,141636.79,162.732282,18,21.3481314287044
2023-12-21,Greed,1.0,125233.97,537.211402,49,20.811624735703514
2023-12-22,Greed,1.0,88874.28,141.832675,10,40.92671758278208
2023-12-23,Greed,1.0,78438.25,146.936704,13,11.478402785910806
2023-12-24,Greed,1.0,402954.94,1008.619956,39,52.267012077476366
2023-12-25,Greed,1.0,59948.51,-245.081348,3,141.49778224115633
2023-12-27,Greed,1.0,171411.06,-704.8892269999999,28,153.67464419092525
2023-12-28,Greed,1.0,100117.25,-970.730876,23,55.01514381004261
2023-12-29,Greed,1.0,569559.72,508.92214299999995,50,78.11192586732814
2023-12-30,Greed,1.0,702550.21,354.998648,52,68.40190063585914
2024-01-01,Greed,1.0,264239.52999999997,-129.53146,18,85.84776860469921
2024-01-02,Greed,1.0,121348.74,783.979116,17,134.42834386429288
2024-01-03,Greed,1.0,394499.36,866.015507,67,50.415365667933756
2024-01-04,Greed,1.0,99792.54000000001,-67.60364,5,29.544005214373353
2024-01-05,Greed,1.0,1703942.66,164.141565,66,60.7235758141571
2024-01-06,Greed,1.0,298521.4,135.58166400000002,22,37.338371573804935
2024-01-07,Greed,1.0,1048850.06,-835.681235,97,34.037905927281535
2024-01-08,Greed,1.0,1522452.43,-269.874439,128,122.41963598502315
2024-01-09,Extreme Greed,2.0,870051.97,-826.349863,70,214.1803231936485
2024-01-10,Greed,1.0,2057479.48,-1517.091342,193,119.7894328095249
2024-01-11,Extreme Greed,2.0,305314.1,-164.08950099999998,21,101.92627878710132
2024-01-12,Greed,1.0,200082.27,-1925.519024,7,669.9280140108323
2024-01-15,Neutral,0.0,50636.1,152.85358,14,33.645786328134285
2024-01-16,Greed,1.0,116427.33,-2299.171458,9,883.8757688873994
2024-01-17,Greed,1.0,800831.03,813.2741110000001,53,75.6265391448607
2024-01-18,Greed,1.0,424631.52999999997,68.93319,46,39.503091785872144
2024-01-19,Neutral,0.0,428428.97,-385.419235,48,51.79852685525565
2024-01-20,Neutral,0.0,1070090.51,-146.57487000000003,106,38.554282761934644
2024-01-21,Greed,1.0,103129.74,266.58114600000005,11,65.56080670770307
2024-01-22,Greed,1.0,337878.99,1375.640959,85,80.41613478472654
2024-01-23,Neutral,0.0,414518.93000000005,-369.2447299999998,45,613.9643726523253
2024-01-24,Neutral,0.0,965084.59,-2808.353815,68,149.8053621490879
2024-01-25,Neutral,0.0,66566.13,-3093.6293849999997,6,356.6379016697523
2024-01-26,Neutral,0.0,11773.21,90.2,5,40.33866631409621
